,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level,percentage_by_level_and_total_people_by_state_and_year,mean_by_state_and_level
250,5,27,9,27865,16887,10978,1968675,1596889,371786,60.603,39.397,0,1.415,0.934
251,5,27,8,108967,104654,4313,1968675,1596889,371786,96.042,3.958,2,5.535,6.983
252,5,28,2,34336,31198,3138,3242166,2272545,969621,90.861,9.139,2,1.0590000000000002,1.3090000000000002
253,5,28,1,388204,367807,20397,3242166,2272545,969621,94.746,5.254,1,11.974,11.165
254,5,28,3,30992,19277,11715,3242166,2272545,969621,62.2,37.8,2,0.956,1.031
255,5,28,7,803550,422647,380903,3242166,2272545,969621,52.597,47.403,1,24.784000000000002,27.275
256,5,28,4,471593,453144,18449,3242166,2272545,969621,96.088,3.912,1,14.546,13.854000000000001
257,5,28,5,1048969,599927,449042,3242166,2272545,969621,57.192,42.808,1,32.354,31.469
258,5,28,6,168787,123610,45177,3242166,2272545,969621,73.234,26.766,2,5.206,3.992
259,5,28,9,35399,22951,12448,3242166,2272545,969621,64.835,35.165,0,1.092,1.403
260,5,28,8,260336,231984,28352,3242166,2272545,969621,89.109,10.890999999999998,2,8.03,8.503
261,5,29,2,1464,1319,145,1240135,871892,368243,90.096,9.904,1,0.11800000000000001,0.086
262,5,29,1,280358,253374,26984,1240135,871892,368243,90.375,9.625,1,22.607,20.099
263,5,29,3,2944,2651,293,1240135,871892,368243,90.04799999999999,9.952,2,0.237,0.28
264,5,29,7,271043,127848,143195,1240135,871892,368243,47.169,52.831,1,21.855999999999998,23.816
265,5,29,4,163380,162414,966,1240135,871892,368243,99.409,0.591,2,13.174000000000001,13.589
266,5,29,5,435095,247466,187629,1240135,871892,368243,56.87600000000001,43.124,1,35.084,35.013000000000005
